seq_number,step_number,small_relevant,small_random,big_random,big_relevant,label
0:0:0,1,0,7,31,0
0:0:0,1,5,7,18,0
0:0:0,5,1,8,39,0
0:0:0,9,2,8,39,0
0:0:0,9,6,7,25,0
0:0:0,11,4,8,21,0
0:0:0,8,1,8,75,0
0:0:0,7,0,8,21,0
0:0:0,9,5,7,52,0
0:0:0,9,3,7,26,0
0:0:1,1,6,8,49,0
0:0:1,3,2,8,11,0
0:0:1,7,5,7,63,0
0:0:1,6,0,7,28,0
0:0:1,11,3,7,66,0
0:0:1,9,3,7,30,0
0:0:1,10,0,8,66,0
0:0:1,10,0,8,61,0
0:0:1,10,3,8,13,0
0:0:1,13,5,8,75,0
0:0:2,7,4,8,31,0
0:0:2,7,2,8,35,0
0:0:2,5,5,7,14,0
0:0:2,10,1,8,40,0
0:0:2,9,6,8,8,0
0:0:2,8,3,8,43,0
0:0:2,9,5,8,38,0
0:0:2,15,4,7,32,0
0:0:2,16,5,7,25,0
0:0:2,14,3,7,50,0
0:0:3,7,0,7,61,0
0:0:3,10,1,8,70,0
0:0:3,8,4,8,13,0
0:0:3,10,3,7,38,0
0:0:3,13,3,7,21,0
0:0:3,10,5,7,47,0
0:0:3,9,3,7,49,0
0:0:3,15,5,8,58,0
0:0:3,12,1,7,61,0
0:0:3,13,0,8,60,0
0:0:4,4,6,7,41,0
0:0:4,8,4,8,35,0
0:0:4,9,3,7,75,0
0:0:4,7,6,7,53,0
0:0:4,14,4,7,25,0
0:0:4,9,2,8,12,0
0:0:4,11,3,7,57,0
0:0:4,16,0,8,37,0
0:0:4,14,6,8,17,0
0:0:4,18,4,8,69,0
0:0:5,6,6,7,37,0
0:0:5,11,6,8,58,0
0:0:5,10,1,7,39,0
0:0:5,13,5,7,60,0
0:0:5,11,2,8,18,0
0:0:5,11,1,8,50,0
0:0:5,15,4,7,31,0
0:0:5,17,3,8,48,0
0:0:5,13,1,8,78,0
0:0:5,19,0,7,24,0
0:0:6,10,1,8,25,0
0:0:6,11,3,8,26,0
0:0:6,14,1,8,66,0
0:0:6,14,6,7,21,0
0:0:6,15,2,7,59,0
0:0:6,12,4,8,33,0
0:0:6,15,4,7,81,0
0:0:6,16,4,8,80,0
0:0:6,15,6,7,45,0
0:0:6,20,3,7,61,0
0:0:7,10,0,7,66,0
0:0:7,11,1,8,47,0
0:0:7,9,1,7,26,0
0:0:7,11,5,7,71,0
0:0:7,16,4,7,74,0
0:0:7,15,1,7,18,0
0:0:7,19,6,7,43,0
0:0:7,16,4,7,60,0
0:0:7,17,1,8,52,0
0:0:7,20,6,7,77,0
0:1:0,4,0,8,54,0
0:1:0,2,6,7,60,0
0:1:0,8,3,7,55,0
0:1:0,4,5,8,55,0
0:1:0,7,6,8,35,0
0:1:0,10,3,7,54,0
0:1:0,8,6,8,55,0
0:1:0,12,6,8,69,0
0:1:0,10,6,8,23,0
